"","prob.FALSE","prob.TRUE","L.prob.FALSE","L.prob.TRUE","U.prob.FALSE","U.prob.TRUE"
"Dec",0.511494732994096,0.488505267005904,0.46788243930659,0.445067273224656,0.554932726775344,0.53211756069341
"Post",0.535692614379096,0.464307385620904,0.491694148360637,0.420857591059008,0.579142408940992,0.508305851639363
"Pre",0.464318745542046,0.535681254457954,0.418828431794526,0.489589364164839,0.510410635835161,0.581171568205474
"Pre+",0.433961355701418,0.566038644298582,0.391782857961036,0.522881387153261,0.477118612846739,0.608217142038964
"Rot1",0.417322752337153,0.582677247662847,0.373903591483518,0.537937111781686,0.462062888218314,0.626096408516482
"Rot1+",0.316204407357279,0.683795592642721,0.277526495962186,0.642395378147335,0.357604621852665,0.722473504037814
"Rot2",0.426120031542149,0.573879968457851,0.383943841430209,0.530600844437213,0.469399155562787,0.616056158569791
"RotIdle",0.947116448206593,0.0528835517934069,0.935450649301267,0.0432286467186808,0.956771353281319,0.0645493506987335
"Translocation",0.534455928088506,0.465544071911495,0.489335903133835,0.420980933025308,0.579019066974692,0.510664096866164
"UnRotIdle",0.818479435620944,0.181520564379056,0.789851836608416,0.156022436856926,0.843977563143074,0.210148163391584
